logical clock,global time,event type,queue length
1,0,internal,0
2,0,receive,0
3,0,internal,0
4,1,internal,0
5,1,internal,0
6,1,internal,0
7,1,send,0
8,1,send,0
9,2,send,0
10,2,receive,0
11,2,send,0
12,2,send,0
13,2,send,0
14,3,internal,0
15,3,send,0
16,3,internal,0
17,3,internal,0
18,3,receive,0
19,4,send,0
20,4,internal,0
21,4,receive,0
22,4,internal,0
23,4,receive,0
24,5,receive,0
25,5,internal,0
26,5,internal,0
27,5,internal,0
28,5,send,0
29,6,send,0
30,6,send,0
31,6,internal,0
32,6,internal,0
33,6,send,0
34,7,internal,0
35,7,internal,0
36,7,send,0
37,7,internal,0
38,8,receive,0
39,8,internal,0
40,8,receive,0
41,8,receive,0
42,8,receive,0
43,9,internal,0
44,9,send,0
45,9,internal,0
46,9,internal,0
47,9,internal,0
48,10,send,0
49,10,send,0
50,10,internal,0
51,10,receive,0
52,10,internal,0
53,11,internal,0
54,11,send,0
55,11,internal,0
56,11,send,0
57,11,internal,0
58,12,internal,0
59,12,send,0
60,12,send,0
61,12,internal,0
62,12,internal,0
63,13,internal,0
64,13,internal,0
65,13,send,0
66,13,send,0
67,13,internal,0
68,14,send,0
69,14,internal,0
70,14,internal,0
71,14,send,0
72,14,internal,0
73,15,receive,0
74,15,internal,0
75,15,internal,0
76,15,internal,0
77,15,internal,0
78,16,internal,0
79,16,internal,0
80,16,send,0
81,16,internal,0
82,16,receive,0
83,17,send,0
84,17,internal,0
85,17,internal,0
86,17,internal,0
87,17,send,0
88,18,internal,0
89,18,send,0
90,18,internal,0
91,18,internal,0
92,19,internal,0
93,19,send,0
94,19,send,0
95,19,internal,0
96,19,receive,0
97,20,send,0
98,20,internal,0
99,20,receive,1
100,20,receive,0
101,20,internal,0
102,21,internal,0
103,21,receive,0
104,21,receive,0
105,21,internal,0
106,21,send,0
107,22,internal,0
108,22,internal,0
109,22,internal,0
110,22,internal,0
111,22,receive,0
112,23,internal,0
113,23,send,0
114,23,internal,0
115,23,internal,0
116,23,internal,0
117,24,send,0
118,24,internal,0
119,24,internal,0
120,24,receive,0
121,24,internal,0
122,25,internal,0
123,25,internal,0
124,25,internal,0
125,25,internal,0
126,25,send,0
127,26,internal,0
128,26,receive,0
129,26,send,0
130,26,internal,0
131,26,receive,0
132,27,internal,0
133,27,send,0
134,27,internal,0
135,27,send,0
136,27,internal,0
137,28,send,0
138,28,send,0
139,28,internal,0
140,28,internal,0
141,29,internal,0
142,29,internal,0
143,29,internal,0
144,29,internal,0
145,29,send,0
146,30,send,0
147,30,internal,0
148,30,internal,0
149,30,internal,0
150,30,internal,0
151,31,receive,0
152,31,internal,0
153,31,internal,0
154,31,send,0
155,31,internal,0
156,32,internal,0
157,32,internal,0
158,32,receive,0
159,32,receive,0
160,32,send,0
161,33,send,0
162,33,internal,0
163,33,send,0
164,33,send,0
165,33,send,0
166,34,internal,0
167,34,send,0
168,34,internal,0
169,34,send,0
170,34,internal,0
171,35,receive,0
172,35,send,0
173,35,internal,0
174,35,internal,0
175,35,send,0
176,36,internal,0
177,36,internal,0
178,36,internal,0
179,36,send,0
180,36,receive,0
181,37,internal,0
182,37,receive,0
183,37,internal,0
184,37,send,0
185,37,internal,0
186,38,internal,0
187,38,receive,0
188,38,receive,0
189,38,internal,0
190,39,internal,0
191,39,send,0
192,39,receive,0
193,39,internal,0
194,39,internal,0
195,40,internal,0
196,40,internal,0
197,40,internal,0
198,40,receive,0
199,40,internal,0
200,41,internal,0
201,41,internal,0
202,41,receive,0
203,41,internal,0
204,41,internal,0
205,42,receive,0
206,42,internal,0
207,42,receive,0
208,42,send,0
209,42,internal,0
210,43,send,0
211,43,send,0
212,43,send,0
213,43,internal,0
214,43,internal,0
215,44,send,0
216,44,internal,0
217,44,internal,0
218,44,internal,0
219,44,internal,0
220,45,receive,0
221,45,receive,0
222,45,internal,0
223,45,send,0
224,45,internal,0
225,46,internal,0
226,46,internal,0
227,46,internal,0
228,46,receive,0
229,46,internal,0
230,47,internal,0
231,47,internal,0
232,47,receive,0
233,47,internal,0
234,47,internal,0
235,48,internal,0
236,48,internal,0
237,48,receive,0
238,48,internal,0
239,49,internal,0
240,49,receive,0
241,49,internal,0
242,49,internal,0
243,49,receive,0
244,50,internal,0
245,50,send,0
246,50,internal,0
247,50,send,0
248,50,send,0
249,51,internal,0
250,51,send,0
251,51,internal,0
252,51,internal,0
253,51,receive,0
254,52,internal,0
255,52,internal,0
256,52,receive,0
257,52,send,0
258,52,internal,0
259,53,internal,0
260,53,internal,0
261,53,internal,0
262,53,internal,0
263,53,receive,0
264,54,send,0
265,54,internal,0
266,54,internal,0
267,54,receive,0
268,54,receive,0
269,55,receive,0
270,55,receive,0
271,55,receive,0
272,55,receive,0
273,55,internal,0
274,56,internal,0
275,56,internal,0
276,56,internal,0
277,56,receive,0
278,56,internal,0
279,57,receive,0
280,57,receive,0
281,57,internal,0
282,57,internal,0
283,57,internal,0
284,58,receive,0
285,58,receive,0
286,58,internal,0
287,58,internal,0
288,59,internal,0
289,59,receive,0
290,59,internal,0
291,59,internal,0
292,59,receive,0
293,60,internal,0
294,60,internal,0
295,60,internal,0
296,60,internal,0
297,60,internal,0
298,61,internal,0
