logical clock,global time,event type,queue length
1,1,internal,0
2,1,send,0
3,1,send,0
4,1,send,0
5,1,internal,0
6,2,send,0
7,2,internal,0
8,2,send,0
9,2,internal,0
10,2,internal,0
11,3,internal,0
12,3,internal,0
13,3,internal,0
14,3,internal,0
15,4,receive,1
16,4,receive,0
17,4,internal,0
18,4,internal,0
19,4,internal,0
20,5,receive,0
21,5,internal,0
22,5,send,0
23,5,internal,0
24,5,internal,0
25,6,send,0
26,6,internal,0
27,6,internal,0
28,6,internal,0
29,6,internal,0
30,7,internal,0
31,7,internal,0
32,7,send,0
33,7,receive,0
34,7,send,0
35,8,internal,0
36,8,send,0
37,8,internal,0
38,8,internal,0
39,8,internal,0
40,9,receive,1
41,9,receive,0
42,9,internal,0
43,9,internal,0
44,9,send,0
45,10,internal,0
46,10,internal,0
47,10,send,0
48,10,internal,0
49,10,internal,0
50,11,internal,0
51,11,send,0
52,11,internal,0
53,11,internal,0
54,11,send,0
55,12,internal,0
56,12,internal,0
57,12,internal,0
58,12,internal,0
59,13,internal,0
60,13,send,0
61,13,internal,0
62,13,internal,0
63,13,send,0
64,14,internal,0
65,14,internal,0
66,14,internal,0
67,14,receive,0
68,14,internal,0
69,15,internal,0
70,15,internal,0
71,15,send,0
72,15,internal,0
73,15,internal,0
74,16,receive,1
75,16,receive,0
76,16,internal,0
77,16,receive,0
78,16,internal,0
79,17,send,0
80,17,internal,0
81,17,internal,0
82,17,internal,0
83,17,send,0
84,18,internal,0
85,18,internal,0
86,18,send,0
87,18,send,0
88,18,send,0
89,19,internal,0
90,19,internal,0
91,19,internal,0
92,19,internal,0
93,19,internal,0
94,20,internal,0
95,20,send,0
96,20,internal,0
97,20,send,0
98,21,internal,0
99,21,internal,0
100,21,internal,0
101,21,internal,0
102,21,internal,0
103,22,send,0
104,22,internal,0
105,22,internal,0
106,22,send,0
107,22,internal,0
108,23,internal,0
109,23,receive,0
110,23,internal,0
111,23,internal,0
112,23,internal,0
113,24,internal,0
114,24,receive,0
115,24,send,0
116,24,internal,0
117,24,internal,0
118,25,internal,0
119,25,send,0
120,25,internal,0
121,25,send,0
122,25,send,0
123,26,send,0
124,26,send,0
125,26,internal,0
126,26,internal,0
127,26,internal,0
128,27,internal,0
129,27,send,0
130,27,internal,0
131,27,internal,0
132,27,send,0
133,28,internal,0
134,28,internal,0
135,28,internal,0
136,28,internal,0
137,28,send,0
138,29,send,0
139,29,internal,0
140,29,internal,0
141,29,internal,0
142,30,internal,0
143,30,internal,0
144,30,internal,0
145,30,internal,0
146,30,send,0
147,31,send,0
148,31,send,0
149,31,internal,0
150,31,internal,0
151,31,internal,0
152,32,internal,0
153,32,receive,0
154,32,internal,0
155,32,send,0
156,32,internal,0
157,33,internal,0
158,33,internal,0
159,33,internal,0
160,33,internal,0
161,33,internal,0
162,34,internal,0
163,34,internal,0
164,34,send,0
165,34,internal,0
166,34,send,0
167,35,internal,0
168,35,receive,0
169,35,internal,0
170,35,internal,0
171,35,internal,0
172,36,internal,0
173,36,send,0
174,36,internal,0
175,36,internal,0
176,36,internal,0
177,37,internal,0
178,37,internal,0
179,37,send,0
180,37,receive,0
181,37,internal,0
182,38,send,0
183,38,receive,0
184,38,internal,0
185,38,send,0
186,38,internal,0
187,39,internal,0
188,39,internal,0
189,39,send,0
190,39,internal,0
191,39,send,0
192,40,internal,0
193,40,send,0
194,40,internal,0
195,40,internal,0
196,41,send,0
197,41,internal,0
198,41,internal,0
199,41,send,0
200,41,internal,0
201,42,internal,0
202,42,send,0
203,42,internal,0
204,42,internal,0
205,42,internal,0
206,43,internal,0
207,43,internal,0
208,43,internal,0
209,43,send,0
210,43,send,0
211,44,send,0
212,44,internal,0
213,44,receive,0
214,44,internal,0
215,44,internal,0
216,45,internal,0
217,45,send,0
218,45,internal,0
219,45,internal,0
220,45,internal,0
221,46,send,0
222,46,internal,0
223,46,send,0
224,46,internal,0
225,46,send,0
226,47,internal,0
227,47,internal,0
228,47,internal,0
229,47,internal,0
230,47,internal,0
231,48,internal,0
232,48,receive,0
233,48,internal,0
234,48,internal,0
235,48,internal,0
236,49,internal,0
237,49,receive,0
238,49,send,0
239,49,send,0
240,49,internal,0
241,50,internal,0
242,50,internal,0
243,50,internal,0
244,50,internal,0
245,51,receive,0
246,51,send,0
247,51,send,0
248,51,internal,0
249,51,internal,0
250,52,internal,0
251,52,internal,0
252,52,send,0
253,52,internal,0
254,52,internal,0
255,53,internal,0
256,53,internal,0
257,53,send,0
258,53,send,0
259,53,internal,0
260,54,internal,0
261,54,internal,0
262,54,send,0
263,54,internal,0
264,54,internal,0
265,55,send,0
266,55,send,0
267,55,internal,0
268,55,internal,0
269,55,internal,0
270,56,send,0
271,56,internal,0
272,56,internal,0
273,56,send,0
274,56,internal,0
275,57,send,0
276,57,internal,0
277,57,receive,0
278,57,send,0
279,57,internal,0
280,58,internal,0
281,58,internal,0
282,58,internal,0
283,58,internal,0
284,58,internal,0
285,59,send,0
286,59,internal,0
287,59,internal,0
288,59,send,0
289,60,send,0
290,60,internal,0
291,60,send,0
292,60,internal,0
293,60,send,0
294,61,internal,0
