logical clock,global time,event type,queue length
1,1,receive,0
2,2,send,0
3,3,send,0
4,4,internal,0
5,5,send,0
6,6,send,0
7,7,receive,0
8,8,internal,0
9,9,receive,0
10,10,send,0
11,11,receive,0
12,12,send,0
13,13,send,0
14,14,internal,0
15,15,receive,0
16,16,receive,0
17,17,send,0
18,18,send,0
19,19,send,0
20,20,send,0
21,21,internal,0
22,22,receive,0
23,23,receive,0
24,24,receive,0
25,25,send,0
26,26,send,0
27,27,send,0
28,28,receive,0
29,29,internal,0
30,30,receive,0
31,31,receive,0
32,32,send,0
33,33,send,0
34,34,receive,0
35,35,receive,0
36,36,send,0
37,37,receive,0
38,38,receive,0
39,39,receive,0
40,40,send,0
41,41,send,0
42,42,receive,0
43,43,receive,1
44,44,receive,0
45,45,receive,1
46,46,receive,0
47,47,receive,0
48,48,send,0
49,49,receive,0
50,50,receive,1
51,51,receive,0
52,52,send,0
53,53,internal,0
54,54,receive,0
55,55,send,0
56,56,send,0
57,57,receive,0
58,58,send,0
59,59,send,0
60,60,receive,0
61,61,send,0
